id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
CLT0037,Delahaye,Gabrielle,antoinepires@example.net,1987-07-09,female,FES,0721632283,2021-06-26,social_media
CLT0038,Giraud,Édouard,gautiereric@example.net,1969-05-28,1,tanger,0677163809,2021-06-19,organic
CLT0039,Weber,Gérard,josephfernandez@example.com,1970-07-13,1,Tnja,0765380353,2021-03-02,email_campaign
CLT0040,Schneider,Victoire,camilledelannoy@example.net,2005-04-13,Homme,Meknes,0795078414,2024-04-03,paid_ads
CLT0041,Guibert,Chantal,maggiemerle@example.com,1971-09-16,1,meknès,0792961491,2022-07-03,referral
CLT0042,Moulin,Grégoire,giraudgeorges@exampleorg,1999-01-17,1,marrakech,0620563149,2021-02-17,referral
CLT0043,Guilbert,Amélie,kmonnier@example.org,1968-09-15,1,FES,0741427753,2023-03-15,email_campaign
CLT0044,Lagarde,Anouk,da-silvaclaire@example.net,1998-08-19,m,Tnja,0630228532,2021-01-15,paid_ads
CLT0045,Richard,Alice,uberger@example.org,1976-01-20,Homme,Meknes,0620939631,2024-11-15,organic
CLT0046,Leduc,Benjamin,theophileleclercq@example.com,1974-08-13,Homme,CASABLANCA,0756504533,2024-09-05,email_campaign
CLT0047,Bertin,Joseph,margaret38@example.com,1976-01-07,h,Fes,0682914115,2021-03-23,social_media
CLT0048,Guérin,Laure,margueritefabre@example.com,2007-02-12,f,FES,0660315736,2021-12-07,organic
CLT0049,Vincent,Valentine,notemail,1980-05-10,h,agadir,0703562971,2023-01-18,organic
CLT0050,Mercier,Émile,hbesson@example.net,1998-06-12,f,Tnja,0633089980,2020-11-15,social_media
CLT0051,Lebreton,Camille,vpelletier@example.net,1972-07-31,Femme,Tanger,0721575131,2022-02-27,social_media
CLT0052,Allard,Laure,adriennegoncalves@example.org,1994-05-24,female,casablanca,0724710566,2022-12-16,email_campaign
CLT0053,Hubert,Laetitia,clemence63@example.org,1973-03-23,m,FES,0777672794,2022-07-23,social_media
CLT0054,Lemaire,Geneviève,martinle-gall@example.net,1980-06-18,Femme,marrakech,0627847444,2022-03-24,email_campaign
CLT0055,Gaudin,Julien,renelevy@example.net,1979-07-23,Homme,TANGER,0754559436,2024-02-11,paid_ads
CLT0056,Munoz,Hugues,zschneider@example.com,1992-05-27,f,Fès,0797027312,2023-06-21,social_media
CLT0057,Pons,Jean,collintheophile@example.com,1967-02-03,female,Fes,0668886530,2022-06-01,social_media
CLT0058,Vincent,Catherine,bertrand64@example.net,2006-05-15,Femme,OUJDA,0673655559,2023-10-23,social_media
CLT0059,Lagarde,Charles,monnieredouard@examplecom,1995-09-20,Homme,Marrakech,0789837088,2022-03-17,paid_ads
CLT0060,Regnier,Matthieu,honorebernard@example.com,1970-04-16,0,Meknes,0702148657,2021-06-07,paid_ads
CLT0061,Torres,Laure,blinnicolas@example.net,2006-05-27,male,meknès,0645058816,2021-02-06,paid_ads
CLT0062,Sauvage,Adrienne,brunaurore@example.net,1975-12-28,1,Fès,0718745205,2022-05-31,organic
CLT0063,Maillot,Louis,couturiermichelle@example.org,1982-05-07,male,Rabat,0771692494,2021-11-24,referral
CLT0064,Chevallier,Marine,notemail,1969-02-21,Homme,TANGER,0736913033,2022-01-21,email_campaign
CLT0065,Legrand,Diane,genevievefontaine@example.org,1991-06-10,h,Marrakech,0608076232,2021-04-27,email_campaign
CLT0066,Aubert,Théophile,notemail,1965-12-19,f,Rabat,0603702936,2022-01-18,email_campaign
CLT0067,Costa,Gilles,zmichel@example.com,1964-02-19,1,Casablanca,0781117875,2020-04-20,social_media
CLT0068,Labbé,Nathalie,legroscecile@example.net,1964-05-03,male,agadir,0655516669,2021-09-25,organic
CLT0069,Charpentier,Étienne,jourdanantoinette@example.org,1975-12-07,f,Tanger,0706740565,2020-11-04,paid_ads
CLT0070,Lelièvre,Henri,patricia07@example.net,1991-06-09,Homme,Agadir,0669316398,2021-08-18,organic
CLT0071,Mallet,Franck,hardyveronique@example.net,1980-05-26,female,Tnja,0717187475,2024-04-08,social_media
CLT0072,Sauvage,Arnaude,valentinsuzanne@example.com,1998-10-01,Homme,CASABLANCA,0662388464,2023-01-12,email_campaign
CLT0073,Deschamps,Alain,eblin@example.org,1970-06-22,female,Fès,0769369619,2023-07-15,organic
CLT0074,Reynaud,François,amelieclerc@example.net,1978-07-08,Femme,agadir,0794718469,2022-04-21,paid_ads
CLT0075,Aubert,Suzanne,hpotier@example.org,1994-08-23,0,agadir,0624375312,2020-09-07,email_campaign
CLT0076,Ramos,Éléonore,suzanne30@example.org,1976-10-09,0,CASABLANCA,0752420150,2022-08-02,paid_ads
CLT0077,Perez,Juliette,caroline58@example.org,1997-11-15,f,meknès,0683814161,2020-01-11,email_campaign
CLT0078,Guillot,Julie,pierrehugues@example.org,1974-02-26,0,Fès,0622801064,2021-11-19,email_campaign
CLT0079,Gonzalez,Sébastien,lefebvrealexandrie@example.com,1978-08-23,male,casablanca,0792043907,2022-12-12,organic
CLT0080,Potier,Stéphanie,vaillantdanielle@example.org,1978-05-13,male,Fes,0721574952,2020-12-15,organic
CLT0081,Bertin,Diane,alphonse74@,2000-02-01,Femme,TNG,0711922556,2020-02-05,paid_ads
CLT0082,Chevalier,Brigitte,qlombard@example.org,1958-01-30,h,Fes,0641735314,2024-08-22,social_media
CLT0083,Pinto,Xavier,csimon@example.net,1956-03-06,Femme,Agadir,0746020627,2020-03-21,social_media
CLT0084,Lebreton,Claudine,catherine29@example.com,1990-09-06,0,OUJDA,0678329278,2024-11-22,organic
CLT0085,Garcia,Paulette,lorrainemaurice@example.net,1957-04-18,male,Oujda,0706820910,2021-07-23,organic
CLT0086,Tessier,Benoît,jacqueselisabeth@example.net,1974-09-19,male,marrakech,0601269291,2021-06-04,email_campaign
CLT0087,Vincent,Anne,langloistherese@example.org,2033-01-01,Homme,RABAT,0739840397,2020-04-27,organic
CLT0088,Gauthier,Adélaïde,suzannevasseur@example.com,1998-12-10,Femme,casablanca,0657061146,2023-02-13,organic
CLT0089,Dubois,Julie,eleonorebriand@example.org,1985-10-31,1,Casablanca,0702773587,2021-12-28,referral
CLT0090,Gauthier,Manon,rledoux@example.net,1972-06-15,f,CASABLANCA,0764420598,2021-06-10,email_campaign
CLT0091,Laroche,Emmanuelle,robertmichel@example.org,2002-08-19,Femme,CASABLANCA,0744116027,2020-07-17,email_campaign
CLT0092,Dupré,Jérôme,marthe50@example.net,1979-11-28,female,Marrakech,0706015941,2021-06-13,social_media
CLT0093,Cordier,Virginie,lorraine54@example.com,1956-05-20,female,Oujda,0641541337,2020-01-08,organic
CLT0094,Besnard,Éléonore,frederique03@example.org,2002-09-23,f,Casablanca,0661344646,2022-01-15,paid_ads
CLT0095,Michel,Bernadette,menardpauline@example.com,1990-08-26,Femme,Marrakech,0746925266,2020-05-07,referral
CLT0096,Auger,Odette,zmorin@example.net,1964-06-28,Homme,Fes,0785253961,2021-11-10,social_media
CLT0097,Bernier,Victor,gsanchez@example.net,1971-10-07,male,TNG,0638742931,2020-05-11,social_media
CLT0098,Costa,Gérard,bhamon@example.com,1956-08-08,f,agadir,0762402335,2022-11-23,referral
CLT0099,Sanchez,Isaac,monique20@example.com,2002-10-25,Femme,Agadir,0626565678,2022-11-10,paid_ads
CLT0100,Moreno,Anastasie,hortensepineau@example.org,2007-06-28,Femme,Fes,0630153050,2023-08-14,social_media
CLT0101,Picard,Stéphane,notemail,1979-01-23,1,Casablanca,0648501249,2021-05-21,organic
CLT0102,Blondel,Rémy,christellemeyer@example.net,1973-12-23,f,TANGER,0790141827,2024-03-23,social_media
CLT0103,Monnier,Matthieu,leroyxavier@example.com,2005-10-18,f,Rabat,0651925679,2020-01-27,organic
CLT0104,Fouquet,Véronique,aurelie72@example.org,1980-09-12,h,CASABLANCA,0677025530,2024-09-11,social_media
CLT0105,Descamps,Marcelle,qblanchet@example.com,1966-07-05,1,TANGER,0799319045,2021-03-29,social_media
CLT0106,Lemonnier,Claire,bfernandez@example.net,1965-04-01,female,OUJDA,0614313566,2024-12-02,email_campaign
CLT0107,Couturier,Thierry,margaux91@example.org,1959-06-25,h,casablanca,0635410376,2023-06-14,referral
CLT0108,Bailly,Thierry,jerome35@example.org,1998-11-12,f,Fes,0694532718,2020-04-01,referral
CLT0109,Briand,Daniel,yvespruvost@example.com,1978-09-02,Femme,Tanger,0628080240,2023-10-03,organic
CLT0110,Pires,Renée,bprevost@example.com,1991-05-17,1,Fes,0785769112,2021-06-12,email_campaign
CLT0111,Poulain,Marc,jacobjulie@example.com,2001-08-10,1,Marrakech,0675503200,2023-05-19,paid_ads
CLT0112,Marin,Christine,zcharles@example.net,2000-04-22,Homme,TNG,0653558968,2022-11-29,paid_ads
CLT0113,Joseph,Audrey,gilletbenjamin@example.org,1996-01-04,Femme,CASABLANCA,0600884682,2021-12-04,email_campaign
CLT0114,Dijoux,Célina,pierre25@example.net,2005-02-03,f,marrakech,0691323598,2024-07-25,referral
CLT0115,Lacombe,Henriette,neveumadeleine@example.net,2004-08-09,f,tanger,0608512513,2024-09-09,social_media
CLT0116,Lejeune,Guillaume,jacquotagathe@example.net,1999-01-13,0,TANGER,0699436454,2022-05-27,paid_ads
CLT0117,Barthelemy,Alfred,fguillou@example.org,1988-04-29,f,Oujda,0686673875,2022-03-29,email_campaign
CLT0118,Brun,Stéphane,couturierdaniel@example.com,1965-01-02,male,CASABLANCA,0645230988,2022-05-31,referral
CLT0119,Millet,Renée,llenoir@example.net,1959-09-19,f,TNG,0731723849,2022-09-30,social_media
CLT0120,Lecomte,Diane,pberthelot@example.net,1884-01-01,1,TNG,0641242344,2024-07-29,referral
CLT0121,Gérard,Claudine,francoise75@example.org,1969-05-27,Homme,Tnja,0760422567,2024-12-03,referral
CLT0122,Pottier,Christelle,cmenard@example.org,2003-04-15,1,TNG,0699824652,2020-09-05,organic
CLT0123,Gillet,Michel,barbeandree@example.net,1981-05-21,female,casablanca,0644748522,2024-08-22,referral
CLT0124,Renaud,Juliette,vweber@example.net,1996-09-16,m,Tanger,0699999952,2024-11-27,email_campaign
CLT0125,Guérin,Martine,kmasson@example.com,1962-01-28,Homme,Tnja,0644499294,2022-01-05,paid_ads
CLT0126,Noël,Emmanuel,michel14@example.org,1976-03-27,1,Fes,0755961368,2022-08-28,referral
CLT0127,Lefebvre,Sylvie,monique25@example.com,2006-05-21,male,TANGER,0702949074,2024-06-29,email_campaign
CLT0128,Besson,Suzanne,ejoubert@example.com,2007-09-01,1,meknès,0636993898,2020-10-19,referral
CLT0129,Gilbert,Philippine,alaincordier@example.org,2002-07-15,f,agadir,0690663799,2024-09-09,organic
CLT0130,Bourdon,Joseph,jbreton@example.com,1955-11-11,Homme,agadir,0774583496,2020-01-23,organic
CLT0131,Boutin,Astrid,kdelmas@example.com,1992-07-04,male,agadir,0738544161,2020-07-20,paid_ads
CLT0132,Royer,Henriette,nmartin@example.org,1987-03-23,male,OUJDA,0749016823,2022-05-31,email_campaign
CLT0133,Rolland,Agathe,deschampsisaac@example.net,1965-08-02,m,OUJDA,0685448898,2020-05-02,social_media
CLT0134,Faure,Marianne,salmonandree@example.org,2008-03-28,male,Oujda,0668655592,2020-07-28,email_campaign
CLT0135,De Oliveira,Valérie,renee51@example.com,1974-06-08,0,Meknes,0728851671,2024-11-16,email_campaign
CLT0136,Leconte,Monique,prevostjeannine@example.com,1988-05-16,m,FES,0738134862,2020-04-11,referral
CLT0137,Laporte,Françoise,odettedumas@example.com,1957-02-09,m,tanger,0680404309,2023-03-25,referral
CLT0138,Jacob,Noël,pierrelemonnier@example.com,1975-05-31,f,Meknes,0705827505,2022-04-18,paid_ads
CLT0139,Guibert,Alexandrie,royeremilieexample.net,1995-06-06,f,Rabat,0674944002,2023-07-28,paid_ads
CLT0140,Huet,Olivier,zdubois@example.net,1992-10-26,1,FES,0758906927,2021-07-24,organic
CLT0141,Delmas,Anne,inesbouvet@example.com,1962-10-13,Femme,Oujda,0668777383,2021-01-21,referral
CLT0142,Brunel,Andrée,benjamin20@example.net,1978-09-16,male,tanger,0737402089,2020-08-07,referral
CLT0143,Buisson,Luc,lleleu@example.com,2004-06-05,female,FES,0739656102,2024-04-14,social_media
CLT0144,Monnier,Agathe,rbonneau@example.com,1986-10-04,0,meknès,0748786079,2022-09-17,organic
CLT0145,De Sousa,Jérôme,texieryves@example.net,1969-02-10,Femme,FES,0727960350,2020-02-14,email_campaign
CLT0146,Lecoq,Céline,navarroanastasie@example.com,1982-10-09,Femme,marrakech,0730026182,2023-06-02,paid_ads
CLT0147,Descamps,Anaïs,ylanglois@example.org,2000-11-13,Homme,marrakech,0795167786,2022-02-24,social_media
CLT0148,Colas,Michelle,turpincaroline@example.org,1967-11-16,Homme,Fes,0624360131,2022-08-18,social_media
CLT0149,Bourdon,Denise,hlemoine@example.com,1971-02-08,f,casablanca,0663608265,2024-01-23,email_campaign
CLT0150,Garnier,Olivier,gpottier@example.net,1966-09-03,0,Tnja,0698631248,2020-12-01,paid_ads
CLT0151,Lebrun,Zacharie,andre90@example.org,1988-11-06,0,casablanca,0776464755,2021-04-18,referral
CLT0152,Perrot,Thérèse,alexandredidier@example.net,1977-03-02,male,agadir,0783911658,2022-05-06,email_campaign
CLT0153,Hoarau,Honoré,thomas64@example.com,1965-10-10,1,FES,0755193079,2020-08-17,email_campaign
CLT0154,Benoit,Philippine,gilbertjacques@example.org,1978-12-18,f,Rabat,0686251683,2024-06-22,social_media
CLT0155,Munoz,Vincent,carolineguichard@example.com,1990-06-13,Homme,FES,0713430205,2022-03-27,social_media
CLT0156,Dumont,Pénélope,amelie32@example.com,1985-12-11,Femme,Tanger,0622517319,2022-03-05,organic
CLT0157,Fernandes,Antoine,brichard@example.com,1971-08-07,1,OUJDA,0685599434,2022-10-29,social_media
CLT0158,Alves,Arnaude,thomas85@example.com,1995-09-05,male,Marrakech,0706137667,2023-07-11,social_media
CLT0159,Couturier,Jeanne,blondelfrederique@example.org,1977-09-28,male,RABAT,0747317363,2023-03-02,referral
CLT0160,Adam,Rémy,wgarcia@example.org,1993-06-21,m,TANGER,0757551855,2022-09-19,email_campaign
CLT0161,Guibert,Stéphanie,amelie66@example.org,1975-12-29,Homme,RABAT,0764888402,2022-10-19,paid_ads
CLT0162,Barbier,Océane,laurelesage@example.net,1984-07-24,female,Tanger,0798754818,2021-06-06,organic
CLT0163,Joubert,Richard,sebastienmenard@example.net,1971-01-06,m,Fès,0689228389,2022-03-14,organic
CLT0164,Chauveau,Geneviève,frederic42@example.org,1987-01-26,h,TANGER,0753019745,2022-03-05,email_campaign
CLT0165,Jourdan,Céline,aureliehamon@example.net,1982-04-12,female,tanger,0707689963,2023-09-23,social_media
CLT0166,Delorme,Henriette,renardlorraine@example.org,1992-06-24,male,meknès,0754739305,2023-02-08,organic
CLT0167,Marchand,Maryse,xclement@example.org,1892-01-01,h,Rabat,0777598112,2021-05-17,social_media
CLT0168,Diallo,Victor,rrolland@example.com,1985-01-15,m,TNG,0699881018,2023-06-29,social_media
CLT0169,Loiseau,Noël,leducsuzanne@example.net,1978-01-10,1,TNG,0795029556,2022-08-20,paid_ads
CLT0170,Perrier,Christophe,pichonxavier@example.com,1967-05-26,m,CASABLANCA,0649515720,2024-05-08,organic
CLT0171,Marchand,Yves,marinelenoir@,1972-08-28,1,RABAT,0780259186,2023-07-08,referral
CLT0172,Coulon,Théodore,alexandrewilliam@example.com,2005-04-18,male,Tnja,0719476840,2022-02-02,paid_ads
CLT0173,Boyer,Andrée,parisveronique@example.com,1978-04-07,Homme,Fes,0614286350,2024-06-23,referral
CLT0174,Bouvier,Julien,glanglois@example.org,1979-06-30,1,meknès,0613444873,2020-11-17,organic
CLT0175,Pires,Thierry,jean65@example.com,1955-09-04,Femme,Tnja,0640519238,2020-01-08,paid_ads
CLT0176,Tanguy,Luc,levrard@example.org,1989-05-16,Homme,Fès,0687366210,2021-08-11,email_campaign
CLT0177,Bernard,Philippe,omichel@example.com,1960-03-10,Femme,Meknes,0691902822,2022-02-09,paid_ads
CLT0178,Pons,Margot,da-silvapauline@example.org,2006-05-09,female,casablanca,0784762176,2023-09-06,social_media
CLT0179,Breton,Timothée,apottier@example.net,1977-10-05,h,agadir,0674168319,2023-04-04,referral
CLT0180,Mary,Margot,alfred61@example.net,2033-01-01,0,meknès,0729181008,2020-11-04,email_campaign
CLT0181,Royer,Marianne,joseph19@example.net,1978-07-19,male,RABAT,0777028172,2020-06-30,referral
CLT0182,Pascal,Virginie,laurencede-sousa@examplenet,1975-01-06,Homme,Meknes,0768475149,2023-04-18,email_campaign
CLT0183,Texier,Simone,frederic96@example.org,1990-02-23,Femme,Fes,0781025094,2024-01-11,social_media
CLT0184,Torres,Madeleine,nathaliegimenez@example.net,1974-07-16,female,agadir,0623764546,2023-07-09,organic
CLT0185,Vallet,Christiane,alexandriapineauexample.com,1971-04-25,0,Marrakech,0657614655,2021-09-29,paid_ads
CLT0186,Denis,Adrien,peronluc@example.com,1983-07-10,Femme,meknès,0776249176,2024-11-14,organic
CLT0187,Clément,Martin,elisabeth57@,1967-12-03,m,casablanca,0785895752,2020-12-12,social_media
CLT0188,Daniel,Guy,cdiallo@example.com,1977-07-03,h,FES,0627345607,2022-10-12,referral
CLT0189,Gaillard,Auguste,danielle81@example.com,1992-10-27,Homme,marrakech,0603439263,2021-11-30,referral
CLT0190,Gallet,Bernard,claude86@example.net,1971-10-22,f,Tanger,0704995218,2020-04-08,email_campaign
CLT0191,Samson,Édith,notemail,1996-08-28,male,Marrakech,0629902565,2022-09-07,referral
CLT0192,Bazin,Tristan,nboucher@example.org,1971-04-20,f,Fès,0685064357,2021-05-29,email_campaign
CLT0193,Bouchet,Antoinette,egrenierexample.net,1996-05-04,m,OUJDA,0642289588,2023-04-08,referral
CLT0194,Leconte,Dorothée,sabine91@example.org,1980-11-09,Homme,TNG,0759104304,2023-04-07,social_media
CLT0195,Laine,Caroline,mathilde53@example.com,2005-06-10,male,meknès,0725704108,2021-09-21,referral
CLT0196,Clerc,Marine,perrothonore@example.org,1969-09-17,m,TNG,0703591650,2022-02-17,referral
CLT0197,Joseph,Alain,zacharielebon@example.net,1976-08-14,Femme,FES,0729425196,2024-12-21,social_media
CLT0198,Rousset,Marguerite,fischerlucie@example.net,1998-06-27,male,OUJDA,0681965383,2023-12-21,organic
CLT0199,Godard,Arnaude,simone78@example.org,2032-01-01,Femme,TNG,0669949161,2020-06-09,paid_ads
CLT0200,Guyot,Célina,susan50@example.net,2000-12-02,h,Casablanca,0723783025,2024-02-09,referral
CLT0201,Blot,Diane,daniellefleury@example.org,2007-08-10,0,Fes,0773663033,2021-11-28,paid_ads
CLT0202,Chevalier,Paulette,gvincent@example.com,2003-03-08,h,OUJDA,0685918067,2024-08-15,email_campaign
CLT0203,Weber,Augustin,lainerenee@example.org,1987-01-26,h,meknès,0643857928,2021-08-30,referral
CLT0204,Moreau,Jeannine,sfrancois@example.com,1957-04-24,male,FES,0749343274,2020-01-28,organic
CLT0205,Lombard,Émile,ediaz@example.net,2001-07-21,female,casablanca,0761192392,2020-01-22,paid_ads
CLT0206,Gomez,Thierry,lopezanastasie@example.net,2006-01-22,Femme,casablanca,0673471983,2022-02-03,referral
CLT0207,Teixeira,Suzanne,dupontgilbert@example.net,1987-08-30,0,RABAT,0626229924,2024-04-06,referral
CLT0208,Ferrand,Michèle,suzannewagner@example.net,1994-08-27,h,RABAT,0733710137,2023-10-01,referral
CLT0209,Thomas,Thérèse,pierre08@example.net,1968-01-10,m,Tnja,0646285170,2021-08-15,paid_ads
CLT0210,Blot,Raymond,thibaultbouvet@example.com,1971-06-25,m,Agadir,0728821481,2024-09-15,social_media
CLT0211,Langlois,Cécile,bodinceline@example.com,1966-01-03,0,Fes,0651108941,2022-01-06,paid_ads
CLT0212,Guillon,Guillaume,bde-oliveira@,1961-04-09,male,TANGER,0624429410,2021-01-21,paid_ads
CLT0213,Gérard,Martin,stephaneprevost@example.net,1987-05-26,f,FES,0716134438,2020-01-31,organic
CLT0214,Caron,Sophie,bonnetcapucine@example.com,1997-07-03,female,meknès,0621021360,2021-11-30,paid_ads
CLT0215,Joseph,Émilie,roussetmaurice@example.com,1971-05-31,f,Casablanca,0670309560,2024-06-18,referral
CLT0216,Coste,Frédérique,cordiergilbert@example.com,2001-09-13,1,Tanger,0618259760,2022-11-20,paid_ads
CLT0217,Bonneau,Zacharie,kduhamel@example.net,1955-05-20,Homme,TANGER,0764497261,2022-09-06,email_campaign
CLT0218,Nguyen,Agnès,marionalexandrie@example.com,1956-03-29,Femme,FES,0704112354,2022-01-31,social_media
CLT0219,Simon,Paul,mvidal@example.org,1990-07-03,0,TANGER,0703076651,2020-05-15,email_campaign
CLT0220,Torres,Paul,bouchervalentine@example.com,1986-05-30,m,tanger,0725628645,2023-03-30,social_media
CLT0221,Bertin,Caroline,hclerc@example.org,1998-05-27,male,RABAT,0761653541,2022-01-27,referral
CLT0222,Bernier,Maurice,chevallierclaudine@example.net,1976-04-23,Homme,Casablanca,0619492379,2024-05-22,email_campaign
CLT0223,Jacques,Louise,aimeemartin@example.com,1963-11-19,female,TNG,0757218943,2023-03-04,social_media
CLT0224,Legrand,Gabriel,flanglois@example.org,1987-01-28,Homme,Oujda,0688314994,2020-06-03,email_campaign
CLT0225,Grégoire,Maryse,notemail,1965-04-04,Femme,Fès,0665443128,2024-03-31,email_campaign
CLT0226,Durand,Yves,cecile09@example.org,2003-04-28,male,Fès,0664176896,2024-11-01,email_campaign
CLT0227,Pottier,Charles,diane08@example.org,1967-04-23,Femme,Tnja,0651019859,2024-07-28,email_campaign
CLT0228,Chauvet,René,pierre14@example.com,1993-11-09,1,marrakech,0739131692,2020-05-11,email_campaign
CLT0229,De Oliveira,Éric,mmarion@example.net,1990-12-19,m,Tanger,0735416546,2020-04-07,organic
CLT0230,Chevalier,Amélie,gpaul@example.org,1998-03-18,Femme,TNG,0690390295,2024-09-21,paid_ads
CLT0231,Fleury,Diane,rivierejulien@example.net,1958-05-27,female,tanger,0617935160,2024-05-27,email_campaign
CLT0232,Fernandez,Tristan,zoe90@example.com,1982-03-28,0,TANGER,0721668073,2023-09-01,organic
CLT0233,Laurent,Patricia,lgosselin@example.net,1958-02-28,0,FES,0690108632,2021-01-04,referral
CLT0234,Lesage,Élisabeth,legersylvie@example.com,2005-06-17,h,marrakech,0796493839,2022-07-03,referral
CLT0235,Lévêque,Antoinette,hortensepoirier@example.com,2001-10-24,0,Marrakech,0649419522,2020-01-07,paid_ads
CLT0236,Pasquier,Henriette,martyelodie@example.org,1969-04-18,h,CASABLANCA,0773371207,2020-01-03,social_media
CLT0237,Hoarau,Zoé,loiseauandre@example.com,1983-01-22,female,Fès,0613869723,2024-11-30,social_media
CLT0238,Hernandez,Océane,weberphilippine@example.com,1986-02-16,h,OUJDA,0644315633,2023-04-06,referral
CLT0239,Perrot,Victor,dlelievre@example.com,1985-05-11,f,FES,0732124154,2024-09-30,referral
CLT0240,Marchand,Julien,galletalice@example.org,1997-02-03,female,agadir,0740990687,2021-08-08,organic
CLT0241,Colin,Maggie,levyvirginie@example.org,1994-01-19,1,Rabat,0780194459,2022-04-09,organic
CLT0242,Muller,Auguste,milletmarcel@example.org,1855-01-01,m,meknès,0747196603,2022-11-08,organic
CLT0243,Gautier,Chantal,lejeunelucas@example.com,1972-12-17,h,Agadir,0788335261,2020-08-29,social_media
CLT0244,Humbert,Thierry,isabelle34@example.net,1997-09-04,h,Casablanca,0767123728,2023-09-18,email_campaign
